SERPM 7.0 Transit Statistics                                

                                          ----------AM Peak---------    -----------Off-Peak-------    ------------PM Peak-------  -Daily-
                                Dist      Time      Freq                Time      Freq                Time      Freq
 Route                Mode   (Miles)     (Min)      (Min)      Pax     (Min)      (Min)      Pax      (Min)      (Min)      Pax      Pax
 M33L7BI               392     18.19     68.49     30.00       890     61.86     30.00      1082     68.79     30.00       611      2583
 M33L7BO               392     18.18     64.14     30.00       510     61.24     30.00      1106     71.01     30.00       806      2422
 M33L9BO               392     20.22     87.40     45.00       406     79.11     45.00       620     93.83     45.00       342      1368
 M33L9BI               392     20.30     87.34     45.00       254     77.68     45.00       784     90.21     45.00       373      1411
SERPM 7.0 Transit Statistics                                

                                          ----------AM Peak---------    -----------Off-Peak-------    ------------PM Peak-------  -Daily-
                                Dist      Time      Freq                Time      Freq                Time      Freq
 Route                Mode   (Miles)     (Min)      (Min)     Pax      (Min)      (Min)      Pax      (Min)      (Min)      Pax      Pax

 M33L10BO              392     17.52     74.77     30.00       437     72.22     30.00      1327     78.91     30.00       557      2321
 M33L10BI              392     18.82     79.99     30.00       533     75.59     30.00      1083     80.99     30.00       549      2165
 M33L11BO              392     23.60    102.36     30.00       372     95.86     30.00       803    106.90     30.00       455      1630
 M33L11BI              392     23.45    101.86     30.00       335     94.69     30.00       770    104.36     30.00       448      1553
 M33L14BO              392     14.68     65.96     20.00       373     58.64     30.00       706     63.73     20.00       551      1630
 M33L14BI              392     14.68     59.36     20.00       465     56.67     30.00       757     66.15     20.00       511      1733
 M33L15BO              392     12.26     57.76     45.00        46     54.70     45.00       167     60.84     45.00        44       257
 M33L15BI              392     10.35     48.07     45.00        46     44.70     45.00       115     49.11     45.00        47       208
 M33L16BO              392     15.36     55.45     30.00       271     52.86     60.00       204     60.06     30.00       311       786
 M33L16BI              392     15.36     57.56     30.00       309     52.81     60.00       262     57.66     30.00       300       871
 M33L17BO              392      5.71     33.33     60.00        24     29.67     60.00        29     35.23     60.00        16        69
 M33L17BI              392      6.66     36.15     60.00        12     33.02     60.00        41     39.81     60.00        25        78
 M33L18BO              392     29.57    130.51     15.00      1374    118.63     15.00      4516    147.34     15.00      1960      7850
 M33L18BI              392     29.06    133.08     15.00      1884    114.56     15.00      3811    133.72     15.00      1960      7655
 M33L20BO              392     14.68     65.97     45.00        96     63.25     45.00       247     70.03     45.00        65       408
 M33L20BI              392     13.96     65.59     45.00        95     60.54     45.00       258     65.51     45.00       109       462
 M33L22BO              392     14.72     56.65     30.00       560     50.57     40.00       489     55.11     30.00       458      1507
 M33L22BI              392     14.72     52.33     30.00       377     49.88     40.00       575     58.50     30.00       598      1550
 M33L220BO             392      8.18     34.04     30.00       336     29.45     40.00       340     32.28     30.00       250       926
 M33L220BI             392      8.18     31.08     30.00       211     29.47     40.00       367     35.66     30.00       335       913
 M33L23BO              392     18.76     57.34     40.00       207     53.48     60.00       214     58.66     40.00       269       690
 M33L23BI              392     17.64     53.42     40.00       189     50.55     60.00       237     54.86     40.00       195       621
 M33L28BO              392     20.92     86.75     20.00       583     82.96     30.00       882     96.52     20.00       834      2299
 M33L28BI              392     20.82     89.63     20.00       552     80.35     30.00       987     89.18     20.00       754      2293
 M33L30BO              392     10.04     38.79     30.00       302     37.41     30.00       609     43.01     30.00       586      1497
 M33L30BI              392     10.04     41.21     30.00       508     36.82     30.00       540     39.24     30.00       409      1457
 M33L31BO              392     17.21     75.90     20.00       598     67.58     30.00       557     73.30     20.00       554      1709
 M33L31BI              392     19.17     75.66     20.00       490     72.32     30.00       726     84.01     20.00       718      1934
 M33L34BO              392     13.10     52.54     30.00       335     47.51     30.00       442     51.22     30.00       303      1080
 M33L34BI              392     13.10     49.84     30.00       273     47.77     30.00       445     54.54     30.00       392      1110
 M33L36BO              392     20.89     96.21     15.00       825     87.30     20.00      1014     97.44     15.00       756      2595
 M33L36BI              392     20.82     91.55     15.00       563     85.93     20.00      1058     99.43     15.00       970      2591
 M33L40BO              392     13.57     72.78     20.00       528     67.77     30.00       534     72.55     20.00       280      1342
 M33L40BI              392     13.62     70.33     20.00       213     67.27     30.00       592     74.85     20.00       525      1330
 M33L50BO              392     16.07     73.21     20.00       608     70.90     30.00       731     76.32     20.00       704      2043
 M33L50BI              392     16.09     73.75     20.00       741     70.16     30.00       759     73.69     20.00       634      2134
 M33L56BO              392     18.44     86.79     30.00       289     75.51     30.00       433     88.62     30.00       293      1015
 M33L56BI              392     18.44     84.30     30.00       220     75.62     30.00       452     91.75     30.00       284       956
 M33L60BO              392     16.63     77.56     20.00       470     71.45     30.00       644     75.28     20.00       557      1671
 M33L60BI              392     16.63     72.93     20.00       521     70.87     30.00       583     78.27     20.00       649      1753
 M33L72BO              392     16.21     71.77     15.00      1320     62.51     20.00      1516     71.29     15.00      1041      3877
 M33L72BI              392     16.21     66.62     15.00       804     62.63     20.00      1585     76.00     15.00      1500      3889
 M33L81BO              392      9.73     46.78     30.00       102     44.74     30.00       366     53.26     30.00       179       647
 M33L81BI              392      9.95     50.53     30.00       221     44.07     30.00       348     47.66     30.00       107       676
 M33L101BI             392     11.79     35.58     60.00        40     33.53     60.00        58     40.13     60.00        42       140
 M33L101BO             392     11.79     38.03     60.00        17     33.47     60.00        62     37.43     60.00        28       107
 M33L103BD             392     11.93     43.81     60.00        36     41.31     60.00        80     45.65     60.00        51       167
