GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Total,Margin of Error; Total
1400000US12086001701,12086001701,"Census Tract 17.01, Miami-Dade County, Florida",4489,536
1400000US12086001702,12086001702,"Census Tract 17.02, Miami-Dade County, Florida",2382,320
1400000US12086001703,12086001703,"Census Tract 17.03, Miami-Dade County, Florida",5371,563
1400000US12086001801,12086001801,"Census Tract 18.01, Miami-Dade County, Florida",3801,528
1400000US12086001802,12086001802,"Census Tract 18.02, Miami-Dade County, Florida",3973,525
1400000US12086001803,12086001803,"Census Tract 18.03, Miami-Dade County, Florida",3234,576
1400000US12086001901,12086001901,"Census Tract 19.01, Miami-Dade County, Florida",3491,495
1400000US12086001903,12086001903,"Census Tract 19.03, Miami-Dade County, Florida",3348,413
1400000US12086001904,12086001904,"Census Tract 19.04, Miami-Dade County, Florida",3630,538
1400000US12086002001,12086002001,"Census Tract 20.01, Miami-Dade County, Florida",3762,520
1400000US12086002003,12086002003,"Census Tract 20.03, Miami-Dade County, Florida",3344,445
1400000US12086002004,12086002004,"Census Tract 20.04, Miami-Dade County, Florida",2932,323
1400000US12086002100,12086002100,"Census Tract 21, Miami-Dade County, Florida",2605,424
1400000US12086002201,12086002201,"Census Tract 22.01, Miami-Dade County, Florida",3766,526
1400000US12086002202,12086002202,"Census Tract 22.02, Miami-Dade County, Florida",6155,598
1400000US12086002300,12086002300,"Census Tract 23, Miami-Dade County, Florida",5206,801
1400000US12086002402,12086002402,"Census Tract 24.02, Miami-Dade County, Florida",5266,503
1400000US12086002403,12086002403,"Census Tract 24.03, Miami-Dade County, Florida",4445,758
1400000US12086002404,12086002404,"Census Tract 24.04, Miami-Dade County, Florida",5031,779
1400000US12086002501,12086002501,"Census Tract 25.01, Miami-Dade County, Florida",5038,516
1400000US12086002502,12086002502,"Census Tract 25.02, Miami-Dade County, Florida",5151,618
1400000US12086002600,12086002600,"Census Tract 26, Miami-Dade County, Florida",6068,775
1400000US12086002702,12086002702,"Census Tract 27.02, Miami-Dade County, Florida",3123,484
1400000US12086002703,12086002703,"Census Tract 27.03, Miami-Dade County, Florida",5770,915
1400000US12086002705,12086002705,"Census Tract 27.05, Miami-Dade County, Florida",2787,505
1400000US12086002706,12086002706,"Census Tract 27.06, Miami-Dade County, Florida",3349,544
1400000US12086002800,12086002800,"Census Tract 28, Miami-Dade County, Florida",1548,388
1400000US12086002900,12086002900,"Census Tract 29, Miami-Dade County, Florida",7085,872
1400000US12086003001,12086003001,"Census Tract 30.01, Miami-Dade County, Florida",2253,285
1400000US12086003003,12086003003,"Census Tract 30.03, Miami-Dade County, Florida",6958,685
1400000US12086003004,12086003004,"Census Tract 30.04, Miami-Dade County, Florida",4530,417
1400000US12086003100,12086003100,"Census Tract 31, Miami-Dade County, Florida",4439,533
1400000US12086003400,12086003400,"Census Tract 34, Miami-Dade County, Florida",1688,251
1400000US12086003601,12086003601,"Census Tract 36.01, Miami-Dade County, Florida",3535,479
1400000US12086003602,12086003602,"Census Tract 36.02, Miami-Dade County, Florida",7203,785
1400000US12086003702,12086003702,"Census Tract 37.02, Miami-Dade County, Florida",3827,492
1400000US12086003703,12086003703,"Census Tract 37.03, Miami-Dade County, Florida",1591,260
1400000US12086003704,12086003704,"Census Tract 37.04, Miami-Dade County, Florida",1479,341
1400000US12086003705,12086003705,"Census Tract 37.05, Miami-Dade County, Florida",1209,271
1400000US12086003706,12086003706,"Census Tract 37.06, Miami-Dade County, Florida",1316,224
1400000US12086003707,12086003707,"Census Tract 37.07, Miami-Dade County, Florida",1174,248
1400000US12086003801,12086003801,"Census Tract 38.01, Miami-Dade County, Florida",5908,51
1400000US12086003803,12086003803,"Census Tract 38.03, Miami-Dade County, Florida",2605,27
1400000US12086003804,12086003804,"Census Tract 38.04, Miami-Dade County, Florida",5927,22
1400000US12086003906,12086003906,"Census Tract 39.06, Miami-Dade County, Florida",3245,352
1400000US12086003909,12086003909,"Census Tract 39.09, Miami-Dade County, Florida",1466,273
1400000US12086003911,12086003911,"Census Tract 39.11, Miami-Dade County, Florida",4688,523
1400000US12086003912,12086003912,"Census Tract 39.12, Miami-Dade County, Florida",4797,763
1400000US12086003913,12086003913,"Census Tract 39.13, Miami-Dade County, Florida",4844,511
1400000US12086003914,12086003914,"Census Tract 39.14, Miami-Dade County, Florida",3698,526
1400000US12086003915,12086003915,"Census Tract 39.15, Miami-Dade County, Florida",4866,778
1400000US12086003916,12086003916,"Census Tract 39.16, Miami-Dade County, Florida",3802,461
1400000US12086003917,12086003917,"Census Tract 39.17, Miami-Dade County, Florida",4910,366
1400000US12086003918,12086003918,"Census Tract 39.18, Miami-Dade County, Florida",2543,366
1400000US12086003919,12086003919,"Census Tract 39.19, Miami-Dade County, Florida",2343,378
1400000US12086003921,12086003921,"Census Tract 39.21, Miami-Dade County, Florida",2776,456
1400000US12086003922,12086003922,"Census Tract 39.22, Miami-Dade County, Florida",3009,420
1400000US12086004000,12086004000,"Census Tract 40, Miami-Dade County, Florida",5620,739
1400000US12086004102,12086004102,"Census Tract 41.02, Miami-Dade County, Florida",2855,449
1400000US12086004103,12086004103,"Census Tract 41.03, Miami-Dade County, Florida",3361,961
1400000US12086004105,12086004105,"Census Tract 41.05, Miami-Dade County, Florida",2780,727
1400000US12086004106,12086004106,"Census Tract 41.06, Miami-Dade County, Florida",3966,561
1400000US12086004203,12086004203,"Census Tract 42.03, Miami-Dade County, Florida",4596,485
1400000US12086004204,12086004204,"Census Tract 42.04, Miami-Dade County, Florida",2053,353
1400000US12086004205,12086004205,"Census Tract 42.05, Miami-Dade County, Florida",2673,526
1400000US12086004206,12086004206,"Census Tract 42.06, Miami-Dade County, Florida",1703,401
1400000US12086004301,12086004301,"Census Tract 43.01, Miami-Dade County, Florida",1879,323
1400000US12086004303,12086004303,"Census Tract 43.03, Miami-Dade County, Florida",2257,409
1400000US12086004304,12086004304,"Census Tract 43.04, Miami-Dade County, Florida",2821,603
1400000US12086004403,12086004403,"Census Tract 44.03, Miami-Dade County, Florida",2797,398
1400000US12086004404,12086004404,"Census Tract 44.04, Miami-Dade County, Florida",1878,279
1400000US12086004405,12086004405,"Census Tract 44.05, Miami-Dade County, Florida",3674,670
1400000US12086004406,12086004406,"Census Tract 44.06, Miami-Dade County, Florida",2383,303
1400000US12086004500,12086004500,"Census Tract 45, Miami-Dade County, Florida",4011,566
1400000US12086004602,12086004602,"Census Tract 46.02, Miami-Dade County, Florida",4265,407
1400000US12086004605,12086004605,"Census Tract 46.05, Miami-Dade County, Florida",3451,437
1400000US12086004607,12086004607,"Census Tract 46.07, Miami-Dade County, Florida",3142,540
1400000US12086004608,12086004608,"Census Tract 46.08, Miami-Dade County, Florida",1916,537
1400000US12086004701,12086004701,"Census Tract 47.01, Miami-Dade County, Florida",5810,425
1400000US12086004702,12086004702,"Census Tract 47.02, Miami-Dade County, Florida",6068,457
1400000US12086004703,12086004703,"Census Tract 47.03, Miami-Dade County, Florida",5009,426
1400000US12086004901,12086004901,"Census Tract 49.01, Miami-Dade County, Florida",3321,352
1400000US12086004902,12086004902,"Census Tract 49.02, Miami-Dade County, Florida",6980,903
1400000US12086005001,12086005001,"Census Tract 50.01, Miami-Dade County, Florida",8358,1122
1400000US12086005002,12086005002,"Census Tract 50.02, Miami-Dade County, Florida",5856,560
1400000US12086005102,12086005102,"Census Tract 51.02, Miami-Dade County, Florida",4014,445
1400000US12086005103,12086005103,"Census Tract 51.03, Miami-Dade County, Florida",2529,288
1400000US12086005104,12086005104,"Census Tract 51.04, Miami-Dade County, Florida",3725,498
1400000US12086005201,12086005201,"Census Tract 52.01, Miami-Dade County, Florida",5565,624
1400000US12086005202,12086005202,"Census Tract 52.02, Miami-Dade County, Florida",6026,658
1400000US12086005302,12086005302,"Census Tract 53.02, Miami-Dade County, Florida",7154,690
1400000US12086005303,12086005303,"Census Tract 53.03, Miami-Dade County, Florida",3417,436
1400000US12086005304,12086005304,"Census Tract 53.04, Miami-Dade County, Florida",4551,580
1400000US12086005403,12086005403,"Census Tract 54.03, Miami-Dade County, Florida",1300,264
1400000US12086005405,12086005405,"Census Tract 54.05, Miami-Dade County, Florida",3380,555
1400000US12086005406,12086005406,"Census Tract 54.06, Miami-Dade County, Florida",4198,608
1400000US12086005407,12086005407,"Census Tract 54.07, Miami-Dade County, Florida",2172,438
1400000US12086005409,12086005409,"Census Tract 54.09, Miami-Dade County, Florida",3714,458
1400000US12086005410,12086005410,"Census Tract 54.10, Miami-Dade County, Florida",3286,430
1400000US12086005501,12086005501,"Census Tract 55.01, Miami-Dade County, Florida",6435,785
1400000US12086005502,12086005502,"Census Tract 55.02, Miami-Dade County, Florida",6993,739
1400000US12086005600,12086005600,"Census Tract 56, Miami-Dade County, Florida",5454,490
1400000US12086005701,12086005701,"Census Tract 57.01, Miami-Dade County, Florida",6471,637
1400000US12086005703,12086005703,"Census Tract 57.03, Miami-Dade County, Florida",6908,753
1400000US12086005704,12086005704,"Census Tract 57.04, Miami-Dade County, Florida",7879,641
1400000US12086005801,12086005801,"Census Tract 58.01, Miami-Dade County, Florida",8216,1020
1400000US12086005802,12086005802,"Census Tract 58.02, Miami-Dade County, Florida",9961,746
1400000US12086005901,12086005901,"Census Tract 59.01, Miami-Dade County, Florida",4320,297
1400000US12086005902,12086005902,"Census Tract 59.02, Miami-Dade County, Florida",3936,476
1400000US12086005903,12086005903,"Census Tract 59.03, Miami-Dade County, Florida",6043,448
1400000US12086005904,12086005904,"Census Tract 59.04, Miami-Dade County, Florida",4364,494
1400000US12086006001,12086006001,"Census Tract 60.01, Miami-Dade County, Florida",7025,800
1400000US12086006002,12086006002,"Census Tract 60.02, Miami-Dade County, Florida",5827,715
1400000US12086006101,12086006101,"Census Tract 61.01, Miami-Dade County, Florida",5773,493
1400000US12086006102,12086006102,"Census Tract 61.02, Miami-Dade County, Florida",6526,427
1400000US12086006201,12086006201,"Census Tract 62.01, Miami-Dade County, Florida",2740,411
1400000US12086006203,12086006203,"Census Tract 62.03, Miami-Dade County, Florida",1773,207
1400000US12086006205,12086006205,"Census Tract 62.05, Miami-Dade County, Florida",3915,609
1400000US12086006206,12086006206,"Census Tract 62.06, Miami-Dade County, Florida",2761,346
1400000US12086006301,12086006301,"Census Tract 63.01, Miami-Dade County, Florida",6739,597
1400000US12086006302,12086006302,"Census Tract 63.02, Miami-Dade County, Florida",4859,571
1400000US12086006401,12086006401,"Census Tract 64.01, Miami-Dade County, Florida",3781,426
1400000US12086006402,12086006402,"Census Tract 64.02, Miami-Dade County, Florida",3697,451
1400000US12086006403,12086006403,"Census Tract 64.03, Miami-Dade County, Florida",3640,423
1400000US12086006501,12086006501,"Census Tract 65.01, Miami-Dade County, Florida",3409,596
1400000US12086006503,12086006503,"Census Tract 65.03, Miami-Dade County, Florida",2792,269
1400000US12086006504,12086006504,"Census Tract 65.04, Miami-Dade County, Florida",2523,335
1400000US12086006601,12086006601,"Census Tract 66.01, Miami-Dade County, Florida",7797,1052
1400000US12086006602,12086006602,"Census Tract 66.02, Miami-Dade County, Florida",4937,762
1400000US12086006702,12086006702,"Census Tract 67.02, Miami-Dade County, Florida",8846,1060
1400000US12086006705,12086006705,"Census Tract 67.05, Miami-Dade County, Florida",2886,491
1400000US12086006706,12086006706,"Census Tract 67.06, Miami-Dade County, Florida",2392,443
1400000US12086006707,12086006707,"Census Tract 67.07, Miami-Dade County, Florida",4309,838
1400000US12086006709,12086006709,"Census Tract 67.09, Miami-Dade County, Florida",977,248
1400000US12086006711,12086006711,"Census Tract 67.11, Miami-Dade County, Florida",2350,437
1400000US12086006713,12086006713,"Census Tract 67.13, Miami-Dade County, Florida",1899,675
1400000US12086006714,12086006714,"Census Tract 67.14, Miami-Dade County, Florida",1939,384
1400000US12086006801,12086006801,"Census Tract 68.01, Miami-Dade County, Florida",2800,411
1400000US12086006802,12086006802,"Census Tract 68.02, Miami-Dade County, Florida",3974,336
1400000US12086006900,12086006900,"Census Tract 69, Miami-Dade County, Florida",6200,704
1400000US12086007001,12086007001,"Census Tract 70.01, Miami-Dade County, Florida",9274,880
1400000US12086007002,12086007002,"Census Tract 70.02, Miami-Dade County, Florida",7726,792
1400000US12086007101,12086007101,"Census Tract 71.01, Miami-Dade County, Florida",2450,389
1400000US12086007103,12086007103,"Census Tract 71.03, Miami-Dade County, Florida",1629,217
1400000US12086007104,12086007104,"Census Tract 71.04, Miami-Dade County, Florida",3047,338
1400000US12086007200,12086007200,"Census Tract 72, Miami-Dade County, Florida",2639,392
1400000US12086007300,12086007300,"Census Tract 73, Miami-Dade County, Florida",4067,411
1400000US12086007400,12086007400,"Census Tract 74, Miami-Dade County, Florida",6851,587
1400000US12086007501,12086007501,"Census Tract 75.01, Miami-Dade County, Florida",2841,293
1400000US12086007503,12086007503,"Census Tract 75.03, Miami-Dade County, Florida",861,126
1400000US12086007601,12086007601,"Census Tract 76.01, Miami-Dade County, Florida",2893,294
1400000US12086007603,12086007603,"Census Tract 76.03, Miami-Dade County, Florida",3716,465
1400000US12086007604,12086007604,"Census Tract 76.04, Miami-Dade County, Florida",5649,589
1400000US12086007605,12086007605,"Census Tract 76.05, Miami-Dade County, Florida",4804,532
1400000US12086007606,12086007606,"Census Tract 76.06, Miami-Dade County, Florida",5937,508
1400000US12086007701,12086007701,"Census Tract 77.01, Miami-Dade County, Florida",6604,527
1400000US12086007702,12086007702,"Census Tract 77.02, Miami-Dade County, Florida",6701,706
1400000US12086007704,12086007704,"Census Tract 77.04, Miami-Dade County, Florida",4444,561
1400000US12086007705,12086007705,"Census Tract 77.05, Miami-Dade County, Florida",4749,589
1400000US12086007801,12086007801,"Census Tract 78.01, Miami-Dade County, Florida",1243,297
1400000US12086007804,12086007804,"Census Tract 78.04, Miami-Dade County, Florida",7284,883
1400000US12086007805,12086007805,"Census Tract 78.05, Miami-Dade County, Florida",4752,447
1400000US12086007806,12086007806,"Census Tract 78.06, Miami-Dade County, Florida",4529,396
1400000US12086007807,12086007807,"Census Tract 78.07, Miami-Dade County, Florida",4671,360
1400000US12086007901,12086007901,"Census Tract 79.01, Miami-Dade County, Florida",3529,313
1400000US12086007902,12086007902,"Census Tract 79.02, Miami-Dade County, Florida",3453,409
1400000US12086008000,12086008000,"Census Tract 80, Miami-Dade County, Florida",6498,797
1400000US12086008101,12086008101,"Census Tract 81.01, Miami-Dade County, Florida",3541,303
1400000US12086008102,12086008102,"Census Tract 81.02, Miami-Dade County, Florida",4973,370
1400000US12086008202,12086008202,"Census Tract 82.02, Miami-Dade County, Florida",3992,308
1400000US12086008205,12086008205,"Census Tract 82.05, Miami-Dade County, Florida",4331,363
1400000US12086008206,12086008206,"Census Tract 82.06, Miami-Dade County, Florida",4136,381
1400000US12086008207,12086008207,"Census Tract 82.07, Miami-Dade County, Florida",4069,280
1400000US12086008208,12086008208,"Census Tract 82.08, Miami-Dade County, Florida",4536,551
1400000US12086008209,12086008209,"Census Tract 82.09, Miami-Dade County, Florida",4791,335
1400000US12086008304,12086008304,"Census Tract 83.04, Miami-Dade County, Florida",8369,1187
1400000US12086008305,12086008305,"Census Tract 83.05, Miami-Dade County, Florida",5267,446
1400000US12086008306,12086008306,"Census Tract 83.06, Miami-Dade County, Florida",9086,963
1400000US12086008307,12086008307,"Census Tract 83.07, Miami-Dade County, Florida",6883,479
1400000US12086008308,12086008308,"Census Tract 83.08, Miami-Dade County, Florida",5901,421
1400000US12086008309,12086008309,"Census Tract 83.09, Miami-Dade County, Florida",4416,573
1400000US12086008405,12086008405,"Census Tract 84.05, Miami-Dade County, Florida",6223,914
1400000US12086008407,12086008407,"Census Tract 84.07, Miami-Dade County, Florida",7413,611
1400000US12086008409,12086008409,"Census Tract 84.09, Miami-Dade County, Florida",5707,475
1400000US12086008410,12086008410,"Census Tract 84.10, Miami-Dade County, Florida",6262,609
1400000US12086008412,12086008412,"Census Tract 84.12, Miami-Dade County, Florida",5827,701
1400000US12086008414,12086008414,"Census Tract 84.14, Miami-Dade County, Florida",7853,586
1400000US12086008415,12086008415,"Census Tract 84.15, Miami-Dade County, Florida",5226,479
1400000US12086008416,12086008416,"Census Tract 84.16, Miami-Dade County, Florida",3482,322
1400000US12086008417,12086008417,"Census Tract 84.17, Miami-Dade County, Florida",5101,562
1400000US12086008418,12086008418,"Census Tract 84.18, Miami-Dade County, Florida",3017,365
1400000US12086008419,12086008419,"Census Tract 84.19, Miami-Dade County, Florida",5299,588
1400000US12086008501,12086008501,"Census Tract 85.01, Miami-Dade County, Florida",7452,718
1400000US12086008502,12086008502,"Census Tract 85.02, Miami-Dade County, Florida",4785,401
1400000US12086008601,12086008601,"Census Tract 86.01, Miami-Dade County, Florida",4649,462
1400000US12086008602,12086008602,"Census Tract 86.02, Miami-Dade County, Florida",7262,745
1400000US12086008701,12086008701,"Census Tract 87.01, Miami-Dade County, Florida",5916,703
1400000US12086008702,12086008702,"Census Tract 87.02, Miami-Dade County, Florida",5944,644
1400000US12086008803,12086008803,"Census Tract 88.03, Miami-Dade County, Florida",6554,760
1400000US12086008804,12086008804,"Census Tract 88.04, Miami-Dade County, Florida",7794,951
1400000US12086008805,12086008805,"Census Tract 88.05, Miami-Dade County, Florida",5322,664
1400000US12086008806,12086008806,"Census Tract 88.06, Miami-Dade County, Florida",3829,433
1400000US12086008901,12086008901,"Census Tract 89.01, Miami-Dade County, Florida",7573,647
1400000US12086008902,12086008902,"Census Tract 89.02, Miami-Dade County, Florida",6593,517
1400000US12086008904,12086008904,"Census Tract 89.04, Miami-Dade County, Florida",1978,326
1400000US12086008906,12086008906,"Census Tract 89.06, Miami-Dade County, Florida",5158,393
1400000US12086008907,12086008907,"Census Tract 89.07, Miami-Dade County, Florida",4820,330
1400000US12086009006,12086009006,"Census Tract 90.06, Miami-Dade County, Florida",9282,945
1400000US12086009010,12086009010,"Census Tract 90.10, Miami-Dade County, Florida",5310,397
1400000US12086009014,12086009014,"Census Tract 90.14, Miami-Dade County, Florida",4159,354
1400000US12086009015,12086009015,"Census Tract 90.15, Miami-Dade County, Florida",5018,533
1400000US12086009017,12086009017,"Census Tract 90.17, Miami-Dade County, Florida",6276,442
1400000US12086009019,12086009019,"Census Tract 90.19, Miami-Dade County, Florida",4820,487
1400000US12086009020,12086009020,"Census Tract 90.20, Miami-Dade County, Florida",2827,374
1400000US12086009021,12086009021,"Census Tract 90.21, Miami-Dade County, Florida",4662,441
1400000US12086009022,12086009022,"Census Tract 90.22, Miami-Dade County, Florida",2112,176
1400000US12086009023,12086009023,"Census Tract 90.23, Miami-Dade County, Florida",7424,543
1400000US12086009024,12086009024,"Census Tract 90.24, Miami-Dade County, Florida",4672,464
