"1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40"
331.19,1792.46,64.04,60.7,58.13,327.65,248.74,98.1,750.44,1773.12,2051.01,726.74,1025.4,1238.09,692.9,621.37,2247.02,68.25,116.66,112.53,214.61,327.65,74.13,143.24,485.61,267.56,1942.2,57.45,27,354.61,512.53,178.03,133.38,290.96,108.23,71.73,55.54,56.99,142.63,75.1
49.63,427.13,6.15,60.71,0,76.1,67.62,37.13,307.43,324.48,825.15,255.16,443.35,624.21,232.2,210.1,1156.06,19.07,56.63,254.39,185.19,16.45,34.07,81.12,285.22,36.08,10.26,1073.67,47.16,29.26,372.49,51.67,130.52,117.49,28.09,72.12,77.44,17.14,38.24,0
97.13,759.34,29.07,191.22,10.89,346.4,253.08,67.53,805.21,957.26,1575.74,1035.05,1370.37,1328.63,749.58,895.98,2638.92,31.74,222.47,514.65,497.89,152.36,130.21,181.9,547.12,466.19,44.37,95.25,2837.83,71.61,227.46,171.32,165.29,359.81,148.79,254.67,106.48,39.74,62.15,41.1
186.69,1003.42,174.1,154.06,69.08,304.66,483.46,138.45,1197.73,1110.36,2574.75,832.47,1364.54,2235.24,1248.47,1244.96,3898.48,26.36,181.5,576.99,832.59,148.33,115.26,270.32,418.7,716.77,328.87,58.86,210.04,4256.34,233.76,277.29,357.05,476.25,153.29,443.85,125.45,70.27,72.06,108.09
565.12,1840.42,246.59,386.76,180.02,588.99,693.43,329.12,1639.26,1384.23,5410.61,1254.51,1969.31,4275.33,2271.92,2331.89,6895.04,16.64,309.81,558.69,798.3,101.3,510.27,519.34,690.36,651.55,522.63,283.66,218.68,195.25,5566.27,240.72,1044.86,1181.5,384.51,668.38,242.9,304.05,246.92,235.81
130.68,492.74,25.29,30.2,35.26,186.89,343.82,53.82,401.44,400.85,1341.53,384.7,705.48,2204.98,769.9,1051.55,2335.9,4.79,66.59,243.54,179.48,173.49,105.77,150.01,248.67,206.65,297.34,38.97,159.04,293.78,301.86,3188.26,312.48,440.72,200.87,284.1,8.47,69.12,78.6,146.76
83.44,437.57,38.35,108.85,32.82,199.83,401.21,149.59,728.37,312.87,1631.71,263.35,640.15,2077.31,1046.97,1358.39,2394.36,7.08,70.68,176.98,183.33,146.49,98.69,431.08,275.1,345.71,162,111.54,95.34,320.7,968.98,103.62,4310.83,266.28,218.51,470.54,123.75,88.22,115.41,117.25
70.6,798.23,155.59,312.84,107.79,651.52,954.6,234.77,804.94,588.34,4061.17,1052.22,882.81,4649.19,3023.37,3920.24,3860.25,53.97,134.31,355.78,236.77,232.17,93.46,645.26,960.22,444.07,352.13,94.44,300.8,446.92,1178.1,447.62,257.59,4406.93,242.28,756.08,349.36,376.36,440.63,232.64
72.08,341.92,110.04,86.46,41.18,358.1,492.19,245.58,633.16,401.2,1872.16,502.93,712.45,2979.36,1923.22,2821.36,2000.78,21.25,108.6,256.63,234.62,103.97,106.38,325.52,475.52,179.76,42.71,53.56,133.07,204.94,315.59,265.61,223.41,161.33,3300.7,119.37,154.01,340.6,404.7,196.01
110.78,903.08,127.05,323.07,87.58,608.8,1069.3,313.84,650.77,643.72,2816.02,542.1,1066.94,5648.32,4332.57,4367.61,3770.87,12.66,116.77,391.86,442.13,208.26,181.86,386.97,693.56,236.79,58.84,137,202.96,385.66,720.27,402.85,366.66,676.68,143.22,5136.65,124.81,703.46,1023.14,528.35
59.76,150.81,26.87,75.91,19.96,299,176.08,64.55,280.74,321.82,878.22,124.86,299.93,2314.84,2210.66,1410.09,872.19,0,19.53,47.16,70.51,31.67,87.84,146.06,115.9,44.46,62.9,103.26,101.48,86.84,147.23,25.72,97.01,291.24,176.31,86.73,2798.47,184.83,255.13,310.95
28.7,252.49,129.12,132.39,45.3,425.28,418.21,108.75,213.38,379.59,1317.57,254.87,166.35,2808.93,2283.55,2110.74,732.82,8.19,20.48,159.74,127.49,127.58,41.45,136.05,168.89,79.01,42.58,42.45,30.3,82.6,383.92,34.9,81.36,319.24,251.42,818.24,287.74,3220.08,283.1,119.77
146.26,897.88,279.77,443.17,392.29,667.73,610.4,194.86,450.66,497.72,2390.33,379.41,433.04,4764.56,3747.62,3277.54,1827.99,8.44,93.62,76.12,244.08,75.73,86.04,781.67,255.76,49.8,187.92,11.35,111.02,70.3,258.55,106.74,176.85,398.98,493.62,871.25,262.96,278.58,5584.58,305.88
59.17,471.62,66.56,104.63,97.58,484.32,423.53,276.46,476.29,234.66,1798.67,191.67,340.21,4576.12,4538.23,2285.36,1791.38,9.43,30.35,60.66,77.78,30.72,37.3,1018.94,338.98,50.88,37.38,2.92,20.68,168.58,250.55,69.23,131.36,230.36,174.19,546.1,258.51,84.59,363.8,4113.01
