Origin_Zone,Destination_Zone,Start_date,End_Date,Purpose,Time_of_Day,Subscriber_Class,Count,SZCount
16,11,20150401,20150430,H00:H24,HBW,Resident,4569.40,320.90
11,16,20150401,20150430,H00:H24,HBW,Resident,4470.13,301.75
12,7,20150401,20150430,H00:H24,NHB,Resident,603.04,99.32
7,25,20150401,20150430,H00:H24,NHB,Resident,376.45,40.33
25,11,20150401,20150430,H00:H24,HBW,Resident,1645.45,119.67
11,24,20150401,20150430,H00:H24,NHB,Visitor,5082.85,758.53
10,2,20150401,20150430,H00:H24,HBO,Resident,18617.59,254.32
16,17,20150401,20150430,H00:H24,HBW,Resident,10163.56,214.63
17,16,20150401,20150430,H00:H24,HBW,Resident,9172.14,222.21
2,30,20150401,20150430,H00:H24,NHB,Visitor,340.26,28.35
2,17,20150401,20150430,H00:H24,HBW,Resident,3041.96,361.77
17,2,20150401,20150430,H00:H24,HBW,Resident,3258.14,346.61
15,16,20150401,20150430,H00:H24,HBW,Resident,15843.93,213.48
17,16,20150401,20150430,H00:H24,HBO,Resident,14165.41,746.79
10,13,20150401,20150430,H00:H24,NHB,Resident,8222.82,177.61
13,2,20150401,20150430,H00:H24,NHB,Resident,6423.55,264.94
10,2,20150401,20150430,H00:H24,HBW,Resident,13014.71,93.36
16,11,20150401,20150430,H00:H24,NHB,Resident,7034.38,1010.65
17,11,20150401,20150430,H00:H24,HBW,Resident,7132.18,927.88
17,7,20150401,20150430,H00:H24,NHB,Resident,8845.90,203.85
7,17,20150401,20150430,H00:H24,NHB,Resident,8404.25,185.12
9,24,20150401,20150430,H00:H24,HBO,Resident,440.61,117.50
24,17,20150401,20150430,H00:H24,HBO,Resident,915.64,109.88
7,16,20150401,20150430,H00:H24,HBO,Resident,9341.03,109.47
16,7,20150401,20150430,H00:H24,HBO,Resident,8847.60,148.85
21,2,20150401,20150430,H00:H24,NHB,Visitor,4990.45,417.58
15,8,20150401,20150430,H00:H24,NHB,Resident,2180.92,12.36
8,15,20150401,20150430,H00:H24,NHB,Resident,2036.13,12.49
15,13,20150401,20150430,H00:H24,HBW,Resident,1965.82,249.63
13,15,20150401,20150430,H00:H24,HBW,Resident,1579.13,413.00
14,7,20150401,20150430,H00:H24,NHB,Resident,4651.74,576.82
21,13,20150401,20150430,H00:H24,NHB,Visitor,1348.20,121.98
9,11,20150401,20150430,H00:H24,NHB,Visitor,1590.97,206.90
10,18,20150401,20150430,H00:H24,NHB,Visitor,10046.07,6.76
2,19,20150401,20150430,H00:H24,NHB,Resident,1496.67,128.45
19,2,20150401,20150430,H00:H24,NHB,Resident,1498.66,146.08
16,26,20150401,20150430,H00:H24,HBO,Resident,553.80,144.47
26,16,20150401,20150430,H00:H24,HBO,Resident,504.18,79.61
14,24,20150401,20150430,H00:H24,NHB,Visitor,15261.82,3265.00
2,14,20150401,20150430,H00:H24,NHB,Resident,3179.40,765.63
14,2,20150401,20150430,H00:H24,HBW,Resident,1795.56,257.16
14,10,20150401,20150430,H00:H24,NHB,Visitor,5151.37,503.57
16,14,20150401,20150430,H00:H24,NHB,Visitor,3469.32,452.21
7,17,20150401,20150430,H00:H24,HBW,Resident,4300.36,65.16
17,7,20150401,20150430,H00:H24,HBW,Resident,4158.13,34.41
11,15,20150401,20150430,H00:H24,HBO,Resident,6668.25,986.69
31,13,20150401,20150430,H00:H24,HBO,Resident,866.48,123.78
13,31,20150401,20150430,H00:H24,HBO,Resident,847.44,195.56
11,25,20150401,20150430,H00:H24,HBW,Resident,1898.31,86.57
17,13,20150401,20150430,H00:H24,HBW,Resident,4586.78,373.20
10,17,20150401,20150430,H00:H24,HBO,Resident,4601.11,616.00
13,12,20150401,20150430,H00:H24,NHB,Resident,2989.79,204.18
12,13,20150401,20150430,H00:H24,NHB,Resident,2685.55,144.24
13,14,20150401,20150430,H00:H24,NHB,Resident,3933.30,939.20
14,13,20150401,20150430,H00:H24,NHB,Resident,4425.43,901.36
14,4,20150401,20150430,H00:H24,NHB,Visitor,1531.59,212.30
12,14,20150401,20150430,H00:H24,HBW,Resident,3816.95,74.68
14,12,20150401,20150430,H00:H24,HBW,Resident,3322.80,122.76
2,19,20150401,20150430,H00:H24,HBO,Resident,1146.52,100.51
19,2,20150401,20150430,H00:H24,HBO,Resident,1025.89,76.51
13,16,20150401,20150430,H00:H24,HBO,Resident,1682.76,489.53
14,13,20150401,20150430,H00:H24,HBW,Resident,2856.78,172.01
20,10,20150401,20150430,H00:H24,NHB,Resident,3952.06,141.40
6,14,20150401,20150430,H00:H24,NHB,Visitor,1480.74,112.82
38,16,20150401,20150430,H00:H24,NHB,Visitor,114.54,7.16
16,17,20150401,20150430,H00:H24,NHB,Visitor,2527.45,116.44
2,13,20150401,20150430,H00:H24,NHB,Resident,6032.92,335.47
