Origin_Zone,Destination_Zone,Start_Date,End_Date,Aggregation,Subscriber_Class,Purpose,Time_of_Day,Count
12,7,20150401,20150430,WD,Resident,NHB,H00:H24,603.04
7,25,20150401,20150430,WD,Resident,NHB,H00:H24,376.45
25,25,20150401,20150430,WD,Resident,NHB,H00:H24,1816.49
25,11,20150401,20150430,WD,Resident,HBW,H00:H24,1645.45
25,25,20150401,20150430,WD,Resident,HBO,H00:H24,3045.28
11,24,20150401,20150430,WD,Visitor,NHB,H00:H24,5082.85
10,2,20150401,20150430,WD,Resident,HBO,H00:H24,18617.59
2,2,20150401,20150430,WD,Resident,HBO,H00:H24,48760.15
17,5,20150401,20150430,WD,Resident,HBW,H00:H24,343.79
5,17,20150401,20150430,WD,Resident,HBW,H00:H24,434.75
16,17,20150401,20150430,WD,Resident,HBW,H00:H24,10163.56
17,16,20150401,20150430,WD,Resident,HBW,H00:H24,9172.14
2,30,20150401,20150430,WD,Visitor,NHB,H00:H24,340.26
2,17,20150401,20150430,WD,Resident,HBW,H00:H24,3041.96
17,2,20150401,20150430,WD,Resident,HBW,H00:H24,3258.14
7,7,20150401,20150430,WD,Resident,HBO,H00:H24,35045.41
15,16,20150401,20150430,WD,Resident,HBW,H00:H24,15843.93
17,16,20150401,20150430,WD,Resident,HBO,H00:H24,14165.41
3,9,20150401,20150430,WD,Resident,HBW,H00:H24,581.25
9,3,20150401,20150430,WD,Resident,HBW,H00:H24,484.26
10,13,20150401,20150430,WD,Resident,NHB,H00:H24,8222.82
13,2,20150401,20150430,WD,Resident,NHB,H00:H24,6423.55
10,2,20150401,20150430,WD,Resident,HBW,H00:H24,13014.71
21,21,20150401,20150430,WD,Resident,NHB,H00:H24,2973.88
8,7,20150401,20150430,WD,Resident,NHB,H00:H24,4960.71
8,8,20150401,20150430,WD,Visitor,NHB,H00:H24,2237.11
16,11,20150401,20150430,WD,Resident,NHB,H00:H24,7034.38
17,11,20150401,20150430,WD,Resident,HBW,H00:H24,7132.18
17,7,20150401,20150430,WD,Resident,NHB,H00:H24,8845.90
7,17,20150401,20150430,WD,Resident,NHB,H00:H24,8404.25
9,24,20150401,20150430,WD,Resident,HBO,H00:H24,440.61
24,17,20150401,20150430,WD,Resident,HBO,H00:H24,915.64
7,16,20150401,20150430,WD,Resident,HBO,H00:H24,9341.03
16,7,20150401,20150430,WD,Resident,HBO,H00:H24,8847.60
7,9,20150401,20150430,WD,Resident,HBO,H00:H24,5913.14
21,2,20150401,20150430,WD,Visitor,NHB,H00:H24,4990.45
15,8,20150401,20150430,WD,Resident,NHB,H00:H24,2180.92
8,15,20150401,20150430,WD,Resident,NHB,H00:H24,2036.13
15,13,20150401,20150430,WD,Resident,HBW,H00:H24,1965.82
13,15,20150401,20150430,WD,Resident,HBW,H00:H24,1579.13
14,7,20150401,20150430,WD,Resident,NHB,H00:H24,4651.74
21,13,20150401,20150430,WD,Visitor,NHB,H00:H24,1348.20
9,11,20150401,20150430,WD,Visitor,NHB,H00:H24,1590.97
10,18,20150401,20150430,WD,Visitor,NHB,H00:H24,10046.07
18,18,20150401,20150430,WD,Visitor,NHB,H00:H24,6701.99
24,1,20150401,20150430,WD,Visitor,NHB,H00:H24,1071.09
2,19,20150401,20150430,WD,Resident,NHB,H00:H24,1496.67
19,2,20150401,20150430,WD,Resident,NHB,H00:H24,1498.66
17,17,20150401,20150430,WD,Resident,HBW,H00:H24,17861.76
16,26,20150401,20150430,WD,Resident,HBO,H00:H24,553.80
26,16,20150401,20150430,WD,Resident,HBO,H00:H24,504.18
1,13,20150401,20150430,WD,Visitor,NHB,H00:H24,534.26
13,1,20150401,20150430,WD,Visitor,NHB,H00:H24,634.89
1,1,20150401,20150430,WD,Visitor,NHB,H00:H24,4419.69
14,24,20150401,20150430,WD,Visitor,NHB,H00:H24,15261.82
2,14,20150401,20150430,WD,Resident,NHB,H00:H24,3179.40
14,2,20150401,20150430,WD,Resident,HBW,H00:H24,1795.56
14,10,20150401,20150430,WD,Visitor,NHB,H00:H24,5151.37
16,14,20150401,20150430,WD,Visitor,NHB,H00:H24,3469.32
18,18,20150401,20150430,WD,Resident,HBO,H00:H24,6223.00
7,17,20150401,20150430,WD,Resident,HBW,H00:H24,4300.36
17,7,20150401,20150430,WD,Resident,HBW,H00:H24,4158.13
10,11,20150401,20150430,WD,Visitor,NHB,H00:H24,10829.27
11,15,20150401,20150430,WD,Resident,HBO,H00:H24,6668.25
11,1,20150401,20150430,WD,Resident,HBW,H00:H24,859.43
1,11,20150401,20150430,WD,Resident,HBW,H00:H24,676.60
31,13,20150401,20150430,WD,Resident,HBO,H00:H24,866.48
13,31,20150401,20150430,WD,Resident,HBO,H00:H24,847.44
11,25,20150401,20150430,WD,Resident,HBW,H00:H24,1898.31
17,13,20150401,20150430,WD,Resident,HBW,H00:H24,4586.78
10,17,20150401,20150430,WD,Resident,HBO,H00:H24,4601.11
13,12,20150401,20150430,WD,Resident,NHB,H00:H24,2989.79
12,13,20150401,20150430,WD,Resident,NHB,H00:H24,2685.55
13,14,20150401,20150430,WD,Resident,NHB,H00:H24,3933.30
14,13,20150401,20150430,WD,Resident,NHB,H00:H24,4425.43
14,4,20150401,20150430,WD,Visitor,NHB,H00:H24,1531.59
12,14,20150401,20150430,WD,Resident,HBW,H00:H24,3816.95
14,12,20150401,20150430,WD,Resident,HBW,H00:H24,3322.80
2,19,20150401,20150430,WD,Resident,HBO,H00:H24,1146.52
19,2,20150401,20150430,WD,Resident,HBO,H00:H24,1025.89
13,16,20150401,20150430,WD,Resident,HBO,H00:H24,1682.76
14,13,20150401,20150430,WD,Resident,HBW,H00:H24,2856.78
20,10,20150401,20150430,WD,Resident,NHB,H00:H24,3952.06
6,7,20150401,20150430,WD,Visitor,NHB,H00:H24,1151.06
7,6,20150401,20150430,WD,Visitor,NHB,H00:H24,1142.69
6,14,20150401,20150430,WD,Visitor,NHB,H00:H24,1480.74
16,38,20150401,20150430,WD,Visitor,NHB,H00:H24,105.14
38,16,20150401,20150430,WD,Visitor,NHB,H00:H24,114.54
16,17,20150401,20150430,WD,Visitor,NHB,H00:H24,2527.45
2,13,20150401,20150430,WD,Resident,NHB,H00:H24,6032.92
7,31,20150401,20150430,WD,Resident,NHB,H00:H24,305.87
31,20,20150401,20150430,WD,Resident,NHB,H00:H24,144.47
20,9,20150401,20150430,WD,Resident,HBO,H00:H24,418.43
11,10,20150401,20150430,WD,Resident,HBO,H00:H24,44091.17
13,2,20150401,20150430,WD,Visitor,NHB,H00:H24,10022.93
2,2,20150401,20150430,WD,Resident,HBW,H00:H24,13174.02
21,25,20150401,20150430,WD,Resident,HBO,H00:H24,92.15
25,21,20150401,20150430,WD,Resident,HBO,H00:H24,89.44
16,9,20150401,20150430,WD,Resident,NHB,H00:H24,6494.28
16,16,20150401,20150430,WD,Resident,HBW,H00:H24,8022.92
16,2,20150401,20150430,WD,Visitor,NHB,H00:H24,964.26
2,21,20150401,20150430,WD,Resident,HBW,H00:H24,1757.18
21,2,20150401,20150430,WD,Resident,HBW,H00:H24,1585.28
15,6,20150401,20150430,WD,Resident,HBW,H00:H24,8050.11
11,17,20150401,20150430,WD,Resident,HBW,H00:H24,7734.31
17,25,20150401,20150430,WD,Resident,NHB,H00:H24,2377.56
25,11,20150401,20150430,WD,Resident,HBO,H00:H24,2579.67
11,19,20150401,20150430,WD,Resident,HBW,H00:H24,1401.75
19,11,20150401,20150430,WD,Resident,HBW,H00:H24,1163.93
2,20,20150401,20150430,WD,Resident,NHB,H00:H24,1552.73
20,17,20150401,20150430,WD,Resident,NHB,H00:H24,3993.02
17,2,20150401,20150430,WD,Resident,HBO,H00:H24,4103.18
8,20,20150401,20150430,WD,Resident,NHB,H00:H24,279.67
20,8,20150401,20150430,WD,Resident,NHB,H00:H24,496.12
3,17,20150401,20150430,WD,Resident,HBW,H00:H24,910.53
17,3,20150401,20150430,WD,Resident,HBW,H00:H24,836.38
23,12,20150401,20150430,WD,Resident,HBW,H00:H24,225.03
12,20,20150401,20150430,WD,Resident,NHB,H00:H24,716.70
20,14,20150401,20150430,WD,Resident,NHB,H00:H24,1520.91
15,26,20150401,20150430,WD,Resident,HBO,H00:H24,415.55
26,15,20150401,20150430,WD,Resident,HBO,H00:H24,451.06
15,24,20150401,20150430,WD,Resident,NHB,H00:H24,744.91
24,17,20150401,20150430,WD,Resident,NHB,H00:H24,744.62
17,20,20150401,20150430,WD,Resident,NHB,H00:H24,2840.29
6,17,20150401,20150430,WD,Resident,HBW,H00:H24,3127.70
17,6,20150401,20150430,WD,Resident,HBW,H00:H24,2792.68
7,31,20150401,20150430,WD,Resident,HBO,H00:H24,278.71
31,16,20150401,20150430,WD,Resident,NHB,H00:H24,898.16
24,18,20150401,20150430,WD,Visitor,NHB,H00:H24,533.89
10,11,20150401,20150430,WD,Resident,NHB,H00:H24,28298.70
5,17,20150401,20150430,WD,Resident,HBO,H00:H24,952.12
9,9,20150401,20150430,WD,Resident,NHB,H00:H24,25331.12
17,2,20150401,20150430,WD,Resident,NHB,H00:H24,4959.78
2,4,20150401,20150430,WD,Resident,HBO,H00:H24,408.27
5,4,20150401,20150430,WD,Resident,HBO,H00:H24,9840.49
39,15,20150401,20150430,WD,Resident,NHB,H00:H24,1441.85
15,6,20150401,20150430,WD,Visitor,NHB,H00:H24,2071.46
35,2,20150401,20150430,WD,Resident,NHB,H00:H24,59.79
2,35,20150401,20150430,WD,Resident,NHB,H00:H24,284.65
9,9,20150401,20150430,WD,Visitor,NHB,H00:H24,11784.87
