Origin_Zone,Destination_Zone,Start_date,End_Date,Time_of_Day,Purpose,Subscriber_Class,Count,SZCount
16,14,20150401,20150430,H07:H10,NHB,Resident,3192.35,434.1061715
14,9,20150401,20150430,H07:H10,NHB,Resident,584.63,124.8086517
9,17,20150401,20150430,H07:H10,NHB,Resident,2741.24,61.05211581
17,6,20150401,20150430,H16:H19,NHB,Resident,1720.93,44.89382609
5,15,20150401,20150430,H07:H10,HBO,Resident,352.23,13.04555556
15,9,20150401,20150430,H07:H10,NHB,Resident,754.38,40.7772973
15,16,20150401,20150430,H16:H19,NHB,Resident,5002.74,90.72326425
11,14,20150401,20150430,H07:H10,HBO,Resident,5262.29,156.1711871
36,17,20150401,20150430,H07:H10,HBO,Resident,200.35,16.24459459
15,14,20150401,20150430,H16:H19,NHB,Resident,2216.66,223.6392878
14,25,20150401,20150430,H07:H10,NHB,Resident,302,51.18644068
15,17,20150401,20150430,H07:H10,HBW,Resident,4786.15,165.9552705
17,15,20150401,20150430,H16:H19,NHB,Resident,4637.46,306.2473585
17,11,20150401,20150430,H07:H10,HBO,Resident,1244.14,251.2205769
2,10,20150401,20150430,H16:H19,HBO,Resident,3672.26,48.80079734
16,15,20150401,20150430,H16:H19,HBO,Resident,7251.91,153.8866843
11,23,20150401,20150430,H07:H10,HBO,Resident,282.21,56.442
23,14,20150401,20150430,H07:H10,NHB,Resident,137.55,35.66111111
14,11,20150401,20150430,H16:H19,HBW,Resident,10327.29,137.8907308
16,15,20150401,20150430,H07:H10,NHB,Resident,2880.14,81.3216
17,16,20150401,20150430,H16:H19,NHB,Resident,6292.12,226.9702605
39,11,20150401,20150430,H16:H19,HBW,Resident,83.52,12.84923077
9,17,20150401,20150430,H07:H10,HBO,Resident,1856.57,101.6565706
15,14,20150401,20150430,H07:H10,NHB,Visitor,629.36,74.44043011
16,39,20150401,20150430,H07:H10,HBO,Resident,114.13,12.68111111
39,16,20150401,20150430,H07:H10,HBO,Resident,340.81,20.86591837
33,23,20150401,20150430,H16:H19,NHB,Visitor,14.35,7.175
8,15,20150401,20150430,H16:H19,HBO,Resident,524.7,6.477777778
17,4,20150401,20150430,H16:H19,HBO,Resident,485.19,13.66732394
9,17,20150401,20150430,H07:H10,NHB,Visitor,1197.1,13.91976744
2,10,20150401,20150430,H16:H19,NHB,Resident,4897.71,41.27283708
15,6,20150401,20150430,H16:H19,NHB,Resident,3182.38,13.12321649
15,7,20150401,20150430,H07:H10,HBO,Resident,1788.72,25.55314286
7,16,20150401,20150430,H07:H10,NHB,Resident,1583.86,13.3097479
16,15,20150401,20150430,H07:H10,HBO,Resident,2616.32,113.7530435
16,10,20150401,20150430,H16:H19,HBW,Resident,321.69,48.2535
11,16,20150401,20150430,H16:H19,HBW,Resident,759.66,112.5422222
