Origin_Zone,Destination_Zone,Start_Date,End_Date,Aggregation,Subscriber_Class,Purpose,Time_of_Day,Count
20,10,20150401,20150430,WD,Resident,NHB,H16:H19,1322.90
16,38,20150401,20150430,WD,Visitor,NHB,H07:H10,17.38
16,17,20150401,20150430,WD,Visitor,NHB,H16:H19,463.14
2,13,20150401,20150430,WD,Resident,NHB,H07:H10,789.05
2,13,20150401,20150430,WD,Resident,NHB,H16:H19,1535.26
13,2,20150401,20150430,WD,Resident,NHB,H16:H19,1450.04
9,7,20150401,20150430,WD,Resident,HBO,H07:H10,895.01
7,31,20150401,20150430,WD,Resident,NHB,H16:H19,29.79
31,20,20150401,20150430,WD,Resident,NHB,H16:H19,21.04
11,10,20150401,20150430,WD,Resident,HBO,H16:H19,8392.17
2,2,20150401,20150430,WD,Resident,HBW,H07:H10,3520.16
16,9,20150401,20150430,WD,Resident,NHB,H07:H10,1296.92
16,16,20150401,20150430,WD,Resident,HBW,H16:H19,1221.38
16,2,20150401,20150430,WD,Visitor,NHB,H16:H19,136.45
17,25,20150401,20150430,WD,Resident,NHB,H16:H19,660.51
25,11,20150401,20150430,WD,Resident,HBO,H16:H19,782.71
2,20,20150401,20150430,WD,Resident,NHB,H07:H10,302.07
20,17,20150401,20150430,WD,Resident,NHB,H16:H19,1508.39
8,20,20150401,20150430,WD,Resident,NHB,H07:H10,86.67
20,8,20150401,20150430,WD,Resident,NHB,H16:H19,175.93
14,13,20150401,20150430,WD,Resident,HBW,H16:H19,655.29
13,2,20150401,20150430,WD,Visitor,NHB,H07:H10,1276.86
15,24,20150401,20150430,WD,Resident,NHB,H07:H10,183.05
24,17,20150401,20150430,WD,Resident,NHB,H16:H19,162.64
17,20,20150401,20150430,WD,Resident,NHB,H16:H19,378.38
16,9,20150401,20150430,WD,Resident,NHB,H16:H19,1269.76
11,10,20150401,20150430,WD,Resident,HBW,H07:H10,9510.14
24,18,20150401,20150430,WD,Visitor,NHB,H16:H19,92.24
17,14,20150401,20150430,WD,Resident,NHB,H07:H10,2062.97
16,17,20150401,20150430,WD,Resident,HBO,H07:H10,2840.10
2,2,20150401,20150430,WD,Resident,NHB,H16:H19,5424.44
4,5,20150401,20150430,WD,Resident,HBO,H16:H19,2056.22
15,6,20150401,20150430,WD,Visitor,NHB,H07:H10,263.64
2,35,20150401,20150430,WD,Resident,NHB,H16:H19,75.25
9,9,20150401,20150430,WD,Visitor,NHB,H16:H19,2276.16
23,1,20150401,20150430,WD,Resident,HBW,H07:H10,10.74
1,23,20150401,20150430,WD,Resident,HBW,H16:H19,10.74
10,24,20150401,20150430,WD,Resident,HBO,H16:H19,104.41
15,16,20150401,20150430,WD,Resident,HBW,H16:H19,1303.95
6,15,20150401,20150430,WD,Resident,NHB,H07:H10,2089.80
15,20,20150401,20150430,WD,Resident,HBW,H07:H10,665.51
20,15,20150401,20150430,WD,Resident,HBW,H07:H10,20.50
2,11,20150401,20150430,WD,Visitor,NHB,H07:H10,789.68
11,24,20150401,20150430,WD,Visitor,NHB,H16:H19,784.29
15,1,20150401,20150430,WD,Resident,NHB,H07:H10,97.44
1,17,20150401,20150430,WD,Resident,NHB,H16:H19,677.56
12,11,20150401,20150430,WD,Resident,HBO,H07:H10,3514.45
14,14,20150401,20150430,WD,Resident,NHB,H07:H10,11601.58
14,2,20150401,20150430,WD,Resident,HBO,H07:H10,362.17
14,14,20150401,20150430,WD,Resident,NHB,H16:H19,14202.16
14,16,20150401,20150430,WD,Resident,NHB,H16:H19,4624.47
2,23,20150401,20150430,WD,Resident,HBW,H16:H19,126.64
10,11,20150401,20150430,WD,Resident,HBO,H07:H10,6202.41
34,14,20150401,20150430,WD,Resident,HBO,H16:H19,336.20
15,4,20150401,20150430,WD,Resident,NHB,H16:H19,552.47
15,16,20150401,20150430,WD,Resident,HBO,H16:H19,4643.68
25,14,20150401,20150430,WD,Resident,HBO,H07:H10,268.94
2,13,20150401,20150430,WD,Visitor,NHB,H16:H19,2303.44
13,9,20150401,20150430,WD,Visitor,NHB,H16:H19,255.69
9,7,20150401,20150430,WD,Visitor,NHB,H16:H19,360.39
3,11,20150401,20150430,WD,Resident,NHB,H07:H10,85.44
11,4,20150401,20150430,WD,Resident,NHB,H16:H19,242.93
4,7,20150401,20150430,WD,Resident,NHB,H07:H10,520.89
11,12,20150401,20150430,WD,Resident,HBW,H07:H10,4035.01
13,21,20150401,20150430,WD,Resident,HBO,H16:H19,276.76
21,13,20150401,20150430,WD,Resident,HBO,H16:H19,239.40
2,10,20150401,20150430,WD,Visitor,NHB,H16:H19,8613.65
40,34,20150401,20150430,WD,Resident,HBW,H07:H10,28.35
40,15,20150401,20150430,WD,Resident,HBO,H16:H19,448.28
10,9,20150401,20150430,WD,Resident,HBW,H16:H19,166.29
10,13,20150401,20150430,WD,Resident,HBW,H07:H10,4137.05
13,11,20150401,20150430,WD,Resident,NHB,H16:H19,2578.55
11,9,20150401,20150430,WD,Resident,NHB,H07:H10,520.25
9,13,20150401,20150430,WD,Resident,NHB,H16:H19,463.29
13,15,20150401,20150430,WD,Resident,HBO,H16:H19,543.18
11,16,20150401,20150430,WD,Visitor,NHB,H07:H10,420.64
8,6,20150401,20150430,WD,Resident,HBO,H16:H19,1148.29
6,6,20150401,20150430,WD,Resident,HBW,H07:H10,1557.81
6,3,20150401,20150430,WD,Resident,NHB,H16:H19,330.33
3,6,20150401,20150430,WD,Resident,NHB,H16:H19,342.27
15,2,20150401,20150430,WD,Resident,NHB,H07:H10,500.83
2,34,20150401,20150430,WD,Resident,NHB,H16:H19,60.05
34,16,20150401,20150430,WD,Resident,NHB,H16:H19,501.31
2,11,20150401,20150430,WD,Resident,HBW,H07:H10,1470.58
11,2,20150401,20150430,WD,Resident,HBW,H16:H19,765.66
15,21,20150401,20150430,WD,Resident,NHB,H16:H19,89.26
14,12,20150401,20150430,WD,Resident,HBW,H07:H10,454.18
16,17,20150401,20150430,WD,Resident,HBO,H16:H19,2645.57
9,15,20150401,20150430,WD,Resident,HBW,H16:H19,886.96
22,14,20150401,20150430,WD,Resident,HBW,H07:H10,561.11
14,22,20150401,20150430,WD,Resident,HBO,H16:H19,162.90
13,14,20150401,20150430,WD,Resident,HBW,H07:H10,1097.76
18,2,20150401,20150430,WD,Resident,HBO,H16:H19,480.23
12,11,20150401,20150430,WD,Resident,HBW,H07:H10,3090.48
11,12,20150401,20150430,WD,Resident,HBW,H16:H19,2091.10
4,4,20150401,20150430,WD,Resident,HBO,H07:H10,7027.02
14,17,20150401,20150430,WD,Resident,NHB,H07:H10,1523.61
25,33,20150401,20150430,WD,Visitor,NHB,H07:H10,22.64
18,1,20150401,20150430,WD,Visitor,NHB,H07:H10,59.97
15,11,20150401,20150430,WD,Resident,HBW,H16:H19,524.82
7,12,20150401,20150430,WD,Resident,HBW,H16:H19,67.46
2,21,20150401,20150430,WD,Visitor,NHB,H16:H19,960.22
17,25,20150401,20150430,WD,Resident,HBO,H07:H10,227.04
14,17,20150401,20150430,WD,Resident,HBO,H16:H19,1578.85
8,17,20150401,20150430,WD,Resident,HBW,H07:H10,1321.14
14,14,20150401,20150430,WD,Resident,HBW,H07:H10,5782.74
14,14,20150401,20150430,WD,Resident,HBW,H16:H19,4029.23
15,34,20150401,20150430,WD,Resident,HBO,H07:H10,228.60
15,34,20150401,20150430,WD,Resident,HBW,H16:H19,29.48
14,11,20150401,20150430,WD,Resident,HBO,H16:H19,5945.15
11,39,20150401,20150430,WD,Resident,NHB,H07:H10,75.79
14,14,20150401,20150430,WD,Resident,HBO,H16:H19,9764.31
2,10,20150401,20150430,WD,Resident,NHB,H07:H10,2195.72
13,21,20150401,20150430,WD,Resident,HBW,H07:H10,362.54
13,1,20150401,20150430,WD,Resident,HBO,H16:H19,39.35
3,2,20150401,20150430,WD,Resident,HBW,H07:H10,94.68
